Quality	#1 ID	#2 ID	#1 String	#2 String
0	2198036	2198094	graf reported albuquerque villafranca austin ratcliffe laredo	pete slover reported laredo gromer jeffers albuquerque
1	921159	921272	u chip market expected decline 21 percent year grow 157 percent 2004	america market decline 21 percent 306 billion 2003 grow 157 percent 354 billion 2004
1	740726	739960	group headed state department official john wolf served australia vietnam greece pakistan	group headed john wolf assistant secretary state served australia vietnam greece pakistan
0	284798	284937	commission must work plan detail average residential customer paying 840 year would get saving 30 annually	average residential customer paying 840 year electricity could see saving 30 annually
1	1041293	1041421	company said plan restate earnings 2000 2002	company announced january would restate earnings 2002 2001 perhaps 2000
1	2630545	2630577	result 2 u soft drink maker pepsico inc pepn likely spotlight	result 2 u soft drink maker pepsico inc nyse pep news people likely spotlight
1	1014977	1014962	result overall package provide significant economic growth employee next four year	result overall package provide significant economic growth employee next year said
1	3039165	3039036	walmart said would check millionplus domestic worker ensure legally employed	also said would review domestic employee 1 million ensure legal status
1	2674986	2674800	song offer 99 cent 999 album	company offer song 99 cent album 995
1	2193346	2193362	however talk downplayed pbl said would focus smaller purchase immediately earnings cash flow accretive	talk howeverhas downplayed pbl said would focus smaller purchase immediately earnings cash flowaccretive
1	149798	149596	comcast class share 8 cent 3050 morning trading nasdaq stock market	stock rose 48 cent 30 yesterday nasdaq stock market trading
0	1490811	1490840	dioxin level environment last year dropped 75 percent since 1970s said caswell	institute said dioxin level environment fallen much 76 percent since 1970s
1	426112	426210	integrates rational purifyplus allows developer work supported version java visual c visual basic net	ibm said rational product also integrated rational purifyplus allows developer work java visual c visualbasic net
1	213302	213135	washington post said airlite would shut first shift part second shift monday accommodate president ’ appearance	plant plan shut first shift part second shift monday accommodate president appearance crosby said
0	1963350	1963106	former teammate carlton dotson charged murder	body found july 25 former teammate carlton dotson charged shooting death
1	3035675	3035707	several question asked audience fastpaced forum new candidate	several audience question new candidate well
1	622300	622384	meanwhile global death toll approached 770 8300 people sickened since severe acute respiratory syndrome virus first appeared southern china november	global death toll sars least 767 8300 people sickened since virus first appeared southern china november
0	962311	962987	battle marked day four u sweep hunt supporter saddam hussein fallen regime	twentyseven iraqi killed pushing number opposition death 100 u operation hunt supporter saddam hussein fallen regime
0	2506257	2506206	woman followup examination five 12 24 year	woman followup examination 197475 198081 199293 asked stress
0	221038	221083	embraer jet scheduled delivered september 2006	bombardier embraer aircraft delivered u airway september 2006
1	1097577	1097664	contrary peoplesoft management would believe oracle intends fully support peoplesoft customer product many year come	ellison said contrary contention peoplesoft management oracle intends fully support peoplesoft customer product many year come
0	218017	218035	application intelligence included part company smartdefense application included firewall1	new application intelligence feature available june 3 included smartdefense product come firewall1
0	2277501	2277502	american master arthur miller elia kazan blacklist none without sin wed	note subheading terrible parable american master series arthur miller elia kazan blacklist none without sin
1	423245	423228	downtime take place may june expected cut production 60 million 70 million board foot	downtime expected take 60 million 70 million board foot company system
1	1336931	1336883	july 3 troy expected sentenced life prison without parole	troy face life prison without parole july 30 sentencing
1	2208366	2208492	university michigan released new undergraduate admission process thursday dropping point system u supreme court found unconstitutional june	university michigan released today new admission policy u supreme court struck june way previously admitted undergraduate
1	2405153	2405189	processor announced san jose intel developer forum	new processor unveiled intel developer forum 2003 san jose calif
0	3334905	3334946	justice department filed suit thursday state mississippi failing end federal official call disturbing abuse juvenile unconscionable condition two staterun facility	justice department filed civil right lawsuit thursday state mississippi alleging abuse juvenile offender two staterun facility
1	1641162	1641062	said damage wing provided pathway hot gas penetrate ship thermal armor columbia illfated reentry	document say damage wing provided pathway hot gas penetrate columbia thermal armour fatal reentry
1	244062	243899	also demonstrating boxoffice strength getting seven tony nomination potent revival eugene oneills family drama long day journey night	also demonstrating boxoffice strength getting seven tony nomination potent revival eugene oneills family drama long day journey night
1	1439663	1439808	top rate go 445 percent resident taxable income 500000	resident income 500000 incometax rate increase 445 percent
1	2070455	2070493	secretary state colin powell brushed possibility wednesday	secretary state colin powell last week ruled nonaggression treaty
1	1996069	1996101	thomas tauzin say many doctor bush administration power correct flaw	like many doctor mr thomas mr tauzin say bush administration power correct flaw
1	23807	23792	based experience elsewhere could take two year regular election held added	u military official said could take two year regular election held based experience elsewhere world
1	3147370	3147525	result appear january issue cancer american cancer society journal published online today	result appear january issue cancer american cancer society news web site journal published online monday
1	1211287	1210972	first biotechnology treatment asthma constriction airway affect million around world received approval u food drug administration yesterday	first biotechnology treatment asthma constriction airway affect million american received approval u food drug administration friday
1	3300040	3299992	delegate said raising distributing fund complicated u crackdown jihadi charitable foundation bank account terrorrelated organization money transfer	bin laden ’ men pointed raising distributing fund complicated u crackdown jihadi charitable foundation bank account terrorrelated organization money transfer
1	2512758	2512692	fbi agent arrested former partner big four accounting firm ernst young ernyul criminal charge obstructing federal investigation u official said thursday	former partner accountancy firm ernst young yesterday arrested fbi agent u charge obstructing federal investigation
0	3183829	3183863	kelly begin meeting russian deputy foreign minister alexander losyukov washington monday	russian deputy foreign minister alexander losyukov said moscow tuesday firm date would fixed month end
1	3257588	3257537	latest shooting linked spree november 11 shooting hamilton central elementary school obetz 3km freeway	another shooting linked spree occurred nov 11 hamilton central elementary obetz two mile freeway
0	524136	524119	sanitation poor could typhoid cholera said	sanitation poor drinking water generally left behind could typhoid cholera
0	1321343	1321577	dow jones industrial average ended 128 point 14 9073 nasdaq fell 34 point 21 1610	early trading dow jones industrial average 390 004 percent 911375 gained 3690 tuesday
1	2560856	2560808	pdc also almost certainly fan flame speculation longhorn release	pdc also almost certainly reignite speculation release date microsofts new product
1	2728434	2728420	sale figure watched closely barometer health rose 5 percent instead falling many industry expert predicted	also disclosed sale figure closely watched analyst barometer health significantly higher industry expert expected
1	3277643	3277659	nec pitching wireless gear management software variety industry including health care hospitality	nec pitching wireless gear management software variety industry including healthcare hospitality company spokesman said
1	2621134	2621174	elena slough considered nation oldest person third oldest person world died early sunday morning	elena slough considered oldest person u third oldest person world died
1	2529661	2529575	declaring war sexual harassment sexual assault	declared war sexual assault sexual harassment rosa said
0	953744	953727	technologylaced nasdaq composite index ixic added 192 point 012 percent 164794	technologylaced nasdaq composite index ixic dipped 008 point 1646
0	1268733	1268445	dollar 11785 yen japanese currency 01 percent	swiss franc dollar 13289 franc 05 percent day
0	969512	969295	broader standard poor 500 index spx gave 1191 point 119 percent 98660	technologylaced nasdaq composite index 2536 point 153 percent 162826
1	304482	304430	el watan algerian newspaper reported kidnapper fiercely resisted army assault morning firing kalashnikov rifle	el watan algerian newspaper reported kidnapper put fierce resistance army assault firing kalashnikov rifle
0	472952	472535	mitsubishi tokyo financial jp8306 news chart profile declined 3000 yen 065 percent 456000 yen	sumitomo mitsui financial jp8316 news chart profile 25 percent 198000 yen
0	3119349	3119343	dealing bragging right win loses	leaving aside attorney fee dealing bragging right win loses said gammerman
1	224868	225233	share hartford rose 288 4650 new york stock exchange composite trading	share hartford 228 52 percent 4590 midday trading
0	2678208	2678191	palm o smart phone last product company release becomes part palmone	almost certainly last full quarter company becomes part palm
0	1177915	1178039	think protein probably involved spread form cancer	researcher say research could relevant form cancer
1	129193	129302	tokyo electric power co asia largest power company approval restart first 17 nuclear reactor shut admitted falsifying inspection report	tokyo electric power co asia largest power company restarted first 17 nuclear reactor shut admitting falsified inspection report
1	2843951	2843930	tuition fouryear private college averaged 19710 year 6 percent 2002	current academic year tuition public college averaged 4694 almost 600 year
0	1849508	1849367	security light also installed police swept ground booby trap	security light also installed barn near front gate
1	1685339	1685429	announced republican replace davis rep darrell issa vista spent 171 million money force recall	far declared major party candidate rep darrell issa republican spent 15 million money fund recall
1	2624848	2624568	said usbacked peace plan road map “ coma ” attack could easily widen conflict region	mr jouejati said usbacked road map coma attack could easily widen region
1	2293340	2293455	successful attack could launched within type document support vba including microsoft word excel powerpoint	could happen document format support vba including word excel powerpoint
1	2750203	2750153	official brandeis said extremely heartrending time campus	extremely heartrending time entire brandeis university community
0	2622625	2622698	aint democrat must wrong meeting said	aint democrat must wrong meeting said thunderous applause supporter
1	1946553	1946598	fewer dozen fbi agent dispatched secure analyze evidence	fewer dozen fbi agent sent iraq secure analyze evidence bombing
1	2216702	2216672	surgery lived average 46 month	got surgery alone median survival 41 month
1	742090	742015	tonight spokesman russia foreign ministry said ministry may issue statement thursday clarifying russia position cooperation iran nuclearenergy effort	tonight spokesman russian foreign ministry said might issue statement thursday clarifying russia position aiding iran nuclearenergy effort
1	1795859	1795818	day earlier committee appointed reformist president mohammad khatami called independent judicial inquiry kazemis death	day earlier committee appointed president mohammad khatami called independent inquiry 54yearold photojournalist death
1	2592956	2592914	suite come complete word processor spreadsheet presentation software component continuing tradition utilizing xmlbased file format	suite includes word processor spreadsheet presentation application analogous powerpoint component built around xml file format
1	2845442	2845257	downstream mount vernon skagit river expected crest 36 foot 8 foot flood stage tonight burke said	skagit expected crest night 38 foot mount vernon 10 foot flood stage national weather service said
0	2305958	2306072	bluechip dow jones industrial average eased 44 point 047 percent 9543 scoring five consecutive session	dow jones industrial average dji rose 1825 point 019 percent 958671
0	2156094	2155607	nasdaq composite index inched 128 01 percent 176660 following weekly win 37 percent	technologylaced nasdaq composite index ixic 2444 point 139 percent 173987
1	758342	758501	physician violate ban would subject fine two year prison	physician perform procedure would face two year prison bill
0	869467	869240	standard poor 500 stock index future declined 440 point 98350 nasdaq future fell 65 point 120650	standard poor 500 index 175 point 018 percent 97768
1	1465425	1464865	example anhalt said child typically treat 20ounce soda bottle one serving although actually contains 2 ½ 8ounce serving	anhalt said child typically treat 20ounce soda bottle one serving actually contains 25
0	223008	222987	yield 3 percent note maturing 2008 fell 22 basis point 261 percent	yield fell 2 basis point 141 percent reaching 14 percent may 8 lowest since march 12
1	1168132	1167672	kline opinion dealt specifically abortion provider also would apply doctor providing service prenatal care pregnant child 16	kline opinion dealt specifically abortion provider later office said also would apply doctor providing service prenatal care pregnant girl 16
1	1634651	1634798	united nation international atomic energy agency asked information allegation dossier published britain provide un official said	international atomic energy agency asked information uranium assertion london dossier published britain provide un official said
1	2189818	2189911	sixteen day later superheated air shuttle reentry rushed damaged wing possibility crew survival board said	sixteen day later superheated air shuttle ’ reentry rushed damaged wing ‘ ‘ possibility crew survival ’ ’ board said
1	995311	995560	free world love freedom peace must deal harshly hamas killer told reporter emerged church service	clear free world love freedom peace must deal harshly hamas killer said
0	554534	554959	pressure intensify today national coverage final round planned espn word even difficult	pressure may well rise today national coverage final round planned espn cable sport network
1	14874	14831	powell fired back he accusing president ludicrous act said	powell said he calling president ludicrous
1	1967578	1967664	decision issue new guidance prompted intelligence passed britain fbi secret briefing late july	scotland yard decision issue new guidance prompted new intelligence passed britain fbi late july
1	317570	317290	memo protecting sale window desktop software mentioned linux still small emerging software competitor owned specific company	memo specifically mentioned linux still small emerging software competitor owned specific company
1	2047034	2046820	unable find home judge told mental health authority needed find supervised housing treatment devries somewhere california	judge told state department mental health find supervised housing treatment devries somewhere california
1	84518	84541	also tuesday united state also released iraqi prisoner war official announced would soon let go	meanwhile southern iraq united state released iraqi prisoner war official announced would let go soon
1	2046630	2046644	decision came year whipple ended federal oversight district racial balance facility budget busing	decision came year whipple ended federal oversight school busing well district racial balance facility budget
0	706709	706766	resulting list led toa cbs special afis 100 year 100 hero villain hosted arnold schwarzenegger	primetime special list afis 100 year 100 hero villain aired tuesday cbs
0	2086071	2086118	police warned resident friday travel alone avoid convenience store service station store night	police advised resident friday travel alone convenience store watchful
1	2521336	2521360	nothing stake internal personnel decision microsoft spokesman sean sundwell said	microsoft absolutely nothing atstakes internal personnel decision sundwall said
1	3264615	3264641	prosecutor said question waagner behind letter sent time anthrax attack	prosecutor said question waagner behind letter sent time real anthrax attack killing people 2001
1	262374	262921	plan would cost 200 billion annually gephardt would pay repealing bush tax cut	plan would cost 200 billion annually paid repealing bush tax cut
1	2939925	2939981	fear 35 yearold wouldnt able conceive suffering two ectopic pregnancy cancer uterus	fear heather would never child suffering two ectopic pregnancy cancer uterus
0	2810464	2810247	friday food drug administration approved use silicone breast implant condition	drug approved use friday food drug administration
1	2031076	2031038	prosecutor said paracha convicted could face least 17 year prison	paracha face least 17 year prison convicted
1	27639	27668	half song purchased album apple said	apple noted half song purchased part album
0	143800	143664	ecb cut interest rate six time period 475 percent october 2000 25 percent	ecb cut rate 475 percent october 2000 25 percent period
1	1909408	1909429	deal make sense company halla said prepared statement	brian halla ceo natsemi claimed deal made sense company
1	3034583	3034604	smuggler van chased pickup suv carrying smuggler illegal immigrant said pinal county sheriff roger vanderpool	people van opened fire pickup suv believed transporting illegal immigrant said pinal county sheriff roger vanderpool
1	1257820	1257777	tyco later said loan forgiven swartz repaid full interest according lawyer charles stillman	tyco said loan forgiven swartz fully repaid interest according lawyer charles stillman
0	2221603	2221633	midafternoon trading nasdaq composite index 834 05 percent 179047	nasdaq composite index ixic dipped 859 point 048 percent 177354
1	2706551	2706185	bolton apparently fell immobilized selenski used mattress scale 10foot razorwire fence fischi said	inmate fell selenski used mattress scale 10foot razorwire fence fischi said
0	2975580	2975607	loonie meanwhile continued slip early trading friday	loonie meanwhile rise early thursday
1	813945	813925	m haque meanwhile turquoise cellphone smiley face organizing prom	fatima meanwhile turquoise cell phone organizing prom
1	2851677	2851855	added new yorkbased actor producer private person doesnt care treatment public consumption	added de niro private person doesnt care treatment public consumption
1	895812	895754	month supply aspirin cost le 10 equivalent amount ticlopidine run significantly 100	month supply aspirin cost 10 equivalent amount ticlopidine run well 100
1	2534473	2534504	estimated would take three month would require cancellation subaudit department environmental quality	said would take estimated three month conduct require cancellation subaudit department environmental quality
0	1487731	1487197	arison said mann may one pioneer world music movement deep love brazilian music	arison said mann pioneer world music movement well term coined deep love brazilian music
1	3285348	3285324	virus kill roughly 36000 people average year according u center disease control prevention	complication flu kill roughly 36000 american average year according u center disease control prevention
1	424071	424093	two new scheme people posing irs representative target family armed force member email user	two new scheme target family serving military email user
0	1677100	1677041	wim wenders directed widely praised film name based session	widely praised film name directed wim wenders
1	2404345	2404222	miss novikova said standard weight ballerina miss volochkova bigger others	commenting firing today m novikova said standard weight ballerina m volochkova bigger others
1	2485432	2485492	aired videotape expresident saddam hussein encouraging iraqi fight u occupation iraq	aired videotape apparently deposed iraqi president saddam hussein encouraging iraqi fight u occupation
1	981097	981018	program u official work foreign port authority identify target search highrisk cargo	program u official work foreign port authority seek highrisk cargo reach united state
1	2607361	2607320	dont innocent people ground going die	crew told dont innocent people ground going die said
1	218896	219064	probably easiest time take shuttle program added look forward challenge	probably easiest time come take shuttle program look forward challenge said
1	313947	313222	result nelson face 10 year jail instead life	verdict mean nelson face 10 year prison rather possible life sentence
1	434842	434929	precinct reporting fletcher — threeterm congressman lexington — overwhelming 57 percent vote	precinct reporting fletcher 88747 vote 57 percent total
0	3301764	3301492	progress steady he stable he comfortable jack said tuesday afternoon	progress steady stable said dr jack
1	2895172	2895264	shadrin said khodorkovskys aircraft approached officer identifying member fsb intelligence service domestic successor soviet kgb	shadrin said khodorkovskys aircraft approached officer identifying member fsb domestic intelligence service
1	386627	386521	claimed baby born fullterm died within hour said	told investigator baby born fullterm died within hour hughes said
1	3440566	3440416	french foreign minister dominique de villepin scheduled arrive sharm elsheikh wednesday	french foreign minister dominique de villepin also expected attend
1	853127	853144	believe true human giving 30 per cent higher risk disease	researcher believe true human translating 30 per cent greater risk disease
0	146481	146276	total sale period declined 80 percent 199 billion year earlier	walmart said sale store open least year rose 46 percent year earlier
1	1053869	1053207	u law enforcement official sneering dar heatheringtons version event thrust public spotlight	u law enforcement official sneering dar heatheringtons version event including police conspiracy discredit thrust public spotlight
1	1026659	1026185	saudi newspaper okaz reported monday suspect escaped saturday raid fled car broke outskirt mecca sunday afternoon	newspaper okaz reported six suspect arrested sunday fled raid car broke outskirt mecca
1	1341925	1342201	michael mitchell chief public defender baton rouge representing lee answer phone wednesday afternoon	michael mitchell chief public defender baton rouge representing lee available comment
1	2663667	2663623	canada booming dollar focus try stay 75 cent u mark	canada surging dollar focus struggled failed stay 75 cent u mark
1	2305924	2305736	tired paying high cost cd dvd prefer flexible form ondemand medium delivery	consumer tired paying high price cd dvd looking flexible form ondemand medium delivery
1	960466	960881	bolt catcher robust supposed board chairman retired adm hal gehman said	bolt catcher robust said retired navy admiral harold w gehman jr board chairman
1	129995	129864	morgan stanley raised rating beverage maker overweight equalweight saying part pricing power bottler improve 2004	morgan stanley raised rating company overweight equalweight saying beverage maker pricing power bottler improve 2004
1	356759	356778	interior minister al mustapha sahel said investigation point group arrested recently apparent reference djihad salafist	moroccan interior minister al mustapha sahel told staterun 2m television late saturday investigation point group arrested recently apparent reference salafist jihad
0	919683	919782	pound also made progress dollar reached fresh threeyear high 16789	british pound flexed muscle dollar last 1 percent 16672
1	2949437	2949407	report found oct 23 tucked inside old threering binder related investigation	report found last week tucked inside training manual belonged hick
0	1651582	1651639	among fox viewer 41 percent describe republican 24 percent democrat 30 percent independent	among cnn viewer 29 percent said republican 36 percent called conservative
1	3088078	3087945	muslim immigrant used network rely wire transfer courier overnight mail send cash family overseas	muslim immigrant used network rely wire transfer courier overnight mail send stash cash overseas family
1	1032643	1032617	also arrested friday claudia carrizales de villa 34 mexican citizen life harlingen	also arrested friday claudia carrizales de villa 34 citizen mexico residing border city harlingen texas
1	1750630	1750716	condemn governing council headed united state muqtada al sadr said sermon mosque	condemn denounce governing council headed united state moqtada alsadr said
1	2891280	2891366	mr boncyks husband wayne taken family car work wife child ride neighbour	mr boncyks husband wayne taken family car work child catch ride neighbor
1	2866295	2866282	ukrainian president leonid kuchma today cut short visit latin america bitter border wrangle ukraine russia deteriorates	dispute led ukrainian president leonid kuchma cut short state visit latin america
1	822517	822439	weekend top 12 movie grossed 1571 million 52 percent weekend year earlier	overall box office soared top 12 movie grossing 1571 million 52 percent year ago
1	1502941	1502927	platinum price soared 23year high earlier year president bush news web site proposed investing 12 billion research fuel cellpowered vehicle	platinum price soared 23year high earlier year u president george w bush proposed investing 12 billion research fuel cellpowered vehicle
0	970740	971209	friday stanford 4715 blanked gamecock 80	stanford 4615 team full player season
1	1243593	1243934	nobody really know happened except guard kaye said assure said happened didnt happen	nobody really know happened except guard assure said happened didnt happen kaye said
0	130656	130644	share corixa fell 12 cent 688 359 pm	share corixa fell 12 cent 688 nasdaq stock market
1	221462	221512	time federal investigator looking cfsb allocated share initial public stock offering	federal grand jury security exchange commission looking company allocated share initial public stock offering
0	1632415	1632603	qanbar said council member would possibly elect chairman later sunday	u authority said council would include 20 25 member
1	2451691	2451742	october heating oil future settled 85 cent lower 6989 cent gallon	october heating oil ended 041 cent 7074 cent gallon
1	2282608	2282544	2007 antivirus solution carry worldwide price tag 44 billiondouble five year earlier	2007 antivirus solution carry worldwide price tag double 2002 44 billion
0	2677852	2677869	security exchange commission brought related civil case thursday	security exchange commission filed civil fraud suit teen boston
1	379724	379692	conagra stock closed monday new york stock exchange 2163 share 11 cent	conagra share closed monday 2163 share 11 cent new york stock exchange
1	1156575	1156706	one feature ability delete data handheld device lock device user lose	one feature ability delete data handheld device user loses lock device
1	2745055	2745022	last month intel raised revenue guidance quarter 76 billion 78 billion	end second quarter intel initially predicted sale 69 billion 75 billion
1	3403347	3403527	got carried away started making stuff byrne said	byrne say got carried away powerpoint started making stuff
1	2037906	2038005	georgia afford get funding said dr melinda rowe chatham county health director	georgia afford get funding said county health director dr melinda rowe
1	698720	698772	handspring shareholder get 009 share parent company palm inc share handspring common stock currently	handspring shareholder receive 009 palm share share palmsource share handspring common stock
1	2359387	2359457	share microsoft rose 50 cent friday close 2834 share nasdaq stock market	microsofts stock 50 cent 2834 share new york yesterday
1	2403178	2403100	based least one symptom student hung three 11 time previous year	average student suffered least one 13 symptom three 11 time last year
1	2205838	2205858	tibco used rendezvous name since 1994 several technology product according palo alto california company	tibco used rendezvous name since 1994 several technology product said
1	1669602	1669461	thousand troop division 3rd brigade combat team based fort benning columbus began returning last week flight continuing friday	several thousand 3rd infantry troop including 3rd brigade combat team based fort benning columbus ga began returning last week
1	919801	919939	televised interview wednesday ecb president wim duisenberg said soon discus interest rate cut 12nation euro zone	european central bank president wim duisenberg said televised interview soon discus interest rate cut euro zone
1	578807	578726	teenager high school condom available likely sex teen study published wednesday find	teenager high school condom available likely sex teen study say
1	3277653	3277637	later day however former intel executive turned table speech blasted wireless complicated difficult install	thursday former intel exec blasted wireless insecure complicated difficult install
1	661322	661390	charged three bombing atlanta including blast 1996 olympics along bombing alabama	charged three bombing atlanta including blast 1996 olympics one alabama
0	1586193	1586070	found stolen van said james flateau spokesman state department correctional service	state trooper arrested men stolen van jubilee market route 14 horsehead said james flateau department correctional service spokesman
1	1200470	1200432	thursday post article argued 50 basis point cut fed likely	thursday post article argued 50basispoint cut likely
0	2973611	2973628	sun lone major vendor see shipment decline falling 29 percent 59692 unit	ibm nyse ibm fastestgrowing vendor sale jumping 37 percent 220000 unit
1	1941701	1941639	one two democrat fivemember fcc strong advocate harsher penalty radio television station violate indecency law	copps one two democrat fivemember commission pushed harsher penalty radio television station violate indecency law
0	490219	490021	city index outperformed dow jones industrial average fell 09 percent week	bluechip dow jones industrial average dji tacked 97 point 114 percent 8699
1	421009	421091	state medium said least 770 dead 5600 injured	latest toll given official state medium 643 dead 4600 injured
1	14485	14516	march downturn break broad growth service past 15 month	downturn service activity march break broad growth service past 15 month
1	549014	549093	first three month 2003 alone weekly earnings adjusted inflation fell 15 biggest drop decade lieberman said	first quarter year weekly earnings adjusted inflation fell 15 percent biggest drop decade
1	3326623	3326701	statistical analysis published tuesday circulation journal american heart association news web site	finding published monday circulation journal american heart association
1	1106490	1106299	president george w bush top administration official cited threat iraq banned weapon program main justification going war	president bush top official administration cited threat iraq alleged chemical biological weapon nuclear weapon program main justification going war
1	607219	607092	epidemic began november mainland guangdong province people republic china refused report truthfully spread four month	prc epidemic began guandong province november communist party government refused report truthfully spread four month
0	518130	518082	man gambled life passenger lost said andres rivera jr also bus	man gambled life passenger lost said passenger andres rivera jr whose 15yearold niece jazmine santiago killed
1	3092593	3092563	ig farbens 500 property valued around 38million euro r300million firm debt totalling 28million	ig farbens 500 property valued around 38 million euro 4363 million firm debt totalling 28 million euro
0	1707092	1707031	company operating loss rose 59 percent 73 million 46 million year earlier	operating revenue fell 45 percent 23 billion year earlier
1	1755505	1755464	agent bassem youssef filed lawsuit friday federal district court district columbia	lawsuit filed friday u district court district columbia
0	2199097	2199072	driver eugene rogers helped remove child bus wood said	accident scene driver covered blood helped remove child wood said
